CASF,representation,pcc,rmse
CASF-2007,ECIF,0.812,1.472
CASF-2007,ECIF + ligand,0.815,1.472
CASF-2007,Multi-shelled ECIF,0.824,1.44
CASF-2007,Multi-shelled ECIF + ligand,0.828,1.423
CASF-2007,PDECIF,0.816,1.455
CASF-2007,PDECIF + ligand,0.827,1.418
CASF-2013,ECIF,0.781,1.464
CASF-2013,ECIF + ligand,0.801,1.419
CASF-2013,Multi-shelled ECIF,0.803,1.442
CASF-2013,Multi-shelled ECIF + ligand,0.81,1.414
CASF-2013,PDECIF,0.792,1.449
CASF-2013,PDECIF + ligand,0.811,1.405
CASF-2016,ECIF,0.815,1.32
CASF-2016,ECIF + ligand,0.844,1.245
CASF-2016,Multi-shelled ECIF,0.843,1.28
CASF-2016,Multi-shelled ECIF + ligand,0.851,1.252
CASF-2016,PDECIF,0.833,1.277
CASF-2016,PDECIF + ligand,0.843,1.252
CASF-2019,ECIF,0.832,1.284
CASF-2019,ECIF + ligand,0.856,1.211
CASF-2019,Multi-shelled ECIF,0.868,1.199
CASF-2019,Multi-shelled ECIF + ligand,0.875,1.171
CASF-2019,PDECIF,0.854,1.235
CASF-2019,PDECIF + ligand,0.859,1.217
